"","X.","Name","Symbol","Market.Cap","Price","Circulating.Supply","Volume..24h.","X..1h","X..24h","X..7d","url","done"
"1",1,"BTC
Bitcoin","BTC","$168,504,144,479","$9901.83","17,017,475","$7,751,030,000","0.61%","1.68%","5.23%","https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20000101&end=21000101",TRUE
"2",2,"ETH
Ethereum","ETH","$81,803,514,806","$824.18","99,254,910","$3,064,330,000","1.06%","4.33%","19.63%","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20000101&end=21000101",TRUE
"3",3,"XRP
Ripple","XRP","$35,604,771,244","$0.908789","39,178,259,468
*","$664,193,000","0.39%","0.92%","3.16%","https://coinmarketcap.com/currencies/ripple/historical-data/?start=20000101&end=21000101",TRUE
"4",4,"BCH
Bitcoin Cash","BCH","$30,566,228,192","$1786.24","17,112,050","$1,784,540,000","2.03%","17.32%","24.99%","https://coinmarketcap.com/currencies/bitcoin-cash/historical-data/?start=20000101&end=21000101",TRUE
"5",5,"EOS
EOS","EOS","$14,699,725,935","$17.57","836,866,414
*","$1,572,240,000","-1.34%","-1.15%","-11.56%","https://coinmarketcap.com/currencies/eos/historical-data/?start=20000101&end=21000101",TRUE
"6",6,"LTC
Litecoin","LTC","$10,268,705,779","$182.07","56,400,388","$772,182,000","2.54%","7.54%","18.65%","https://coinmarketcap.com/currencies/litecoin/historical-data/?start=20000101&end=21000101",TRUE
"7",7,"ADA
Cardano","ADA","$9,467,736,494","$0.365168","25,927,070,538
*","$140,450,000","-0.24%","0.61%","-0.65%","https://coinmarketcap.com/currencies/cardano/historical-data/?start=20000101&end=21000101",TRUE
"8",8,"XLM
Stellar","XLM","$7,994,309,556","$0.430449","18,572,024,923
*","$44,369,600","-0.06%","-0.18%","-2.69%","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20000101&end=21000101",TRUE
"9",9,"MIOTA
IOTA","MIOTA","$6,700,196,724","$2.41","2,779,530,283
*","$102,671,000","1.29%","-0.81%","17.02%","https://coinmarketcap.com/currencies/iota/historical-data/?start=20000101&end=21000101",TRUE
"10",10,"TRX
TRON","TRX","$5,676,560,463","$0.086338","65,748,111,645
*","$474,187,000","-0.86%","-1.18%","3.33%","https://coinmarketcap.com/currencies/tron/historical-data/?start=20000101&end=21000101",TRUE
"11",11,"NEO
NEO","NEO","$5,582,986,500","$85.89","65,000,000
*","$132,915,000","1.85%","1.36%","9.33%","https://coinmarketcap.com/currencies/neo/historical-data/?start=20000101&end=21000101",TRUE
"12",12,"DASH
Dash","DASH","$4,101,309,876","$509.19","8,054,640","$113,930,000","0.65%","4.53%","2.41%","https://coinmarketcap.com/currencies/dash/historical-data/?start=20000101&end=21000101",TRUE
"13",13,"XMR
Monero","XMR","$3,869,959,742","$241.85","16,001,686","$73,796,000","0.21%","-0.10%","-7.00%","https://coinmarketcap.com/currencies/monero/historical-data/?start=20000101&end=21000101",TRUE
"14",14,"XEM
NEM","XEM","$3,834,018,000","$0.426002","8,999,999,999
*","$20,137,000","-0.20%","-1.69%","0.13%","https://coinmarketcap.com/currencies/nem/historical-data/?start=20000101&end=21000101",TRUE
"15",15,"VEN
VeChain","VEN","$2,714,728,162","$5.16","525,899,138
*","$120,811,000","-1.04%","-5.39%","18.28%","https://coinmarketcap.com/currencies/vechain/historical-data/?start=20000101&end=21000101",TRUE
"16",16,"ETC
Ethereum Classic","ETC","$2,445,452,004","$24.08","101,547,725","$298,376,000","5.89%","7.54%","10.18%","https://coinmarketcap.com/currencies/ethereum-classic/historical-data/?start=20000101&end=21000101",TRUE
