"X","Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta","Months","Year","Day","Month_Year","market_direction","earlier_price_1"
984,"2015-09-10",238.34,241.29,235.79,238.48,21215500,3478410000,"BTC",0.000587396156750803,"09","2015","10","2015-09","Up",0.00746863592497798
985,"2015-09-09",243.41,244.42,237.82,238.17,23635700,3551640000,"BTC",-0.0215274639497145,"09","2015","09","2015-09","Down",0.000587396156750803
986,"2015-09-08",239.85,245.78,239.68,243.61,26879200,3498750000,"BTC",0.0156764644569523,"09","2015","08","2015-09","Up",-0.0215274639497145
987,"2015-09-07",239.93,242.11,238.72,239.85,21192200,3499120000,"BTC",-0.000333430583920362,"09","2015","07","2015-09","Down",0.0156764644569523
988,"2015-09-06",234.87,242.91,234.68,239.84,25473700,3424420000,"BTC",0.0211606420573083,"09","2015","06","2015-09","Up",-0.000333430583920362
989,"2015-09-05",230.2,236.14,229.44,235.02,20671400,3355470000,"BTC",0.0209383145091226,"09","2015","05","2015-09","Up",0.0211606420573083
990,"2015-09-04",227.22,230.9,227.05,230.3,20962400,3311080000,"BTC",0.0135551447935922,"09","2015","04","2015-09","Up",0.0209383145091226
991,"2015-09-03",229.32,229.6,226.67,227.18,17482000,3340990000,"BTC",-0.00933193790336641,"09","2015","03","2015-09","Down",0.0135551447935922
992,"2015-09-02",228.03,230.58,226.47,229.28,18760400,3321180000,"BTC",0.00548173485944832,"09","2015","02","2015-09","Up",-0.00933193790336641
993,"2015-09-01",230.26,231.22,226.86,228.12,20575200,3352760000,"BTC",-0.00929384174411529,"09","2015","01","2015-09","Down",0.00548173485944832
994,"2015-08-31",229.11,231.96,225.91,230.06,20710700,3335220000,"BTC",0.00414647985683728,"08","2015","31","2015-08","Up",-0.00929384174411529
995,"2015-08-30",229.9,232.07,226.25,228.76,19412600,3345740000,"BTC",-0.00495867768595048,"08","2015","30","2015-08","Down",0.00414647985683728
996,"2015-08-29",231.55,233.22,227.33,229.78,17142500,3368880000,"BTC",-0.00764413733534878,"08","2015","29","2015-08","Down",-0.00495867768595048
997,"2015-08-28",224.7,235.22,220.93,231.4,31336600,3268370000,"BTC",0.0298175344904318,"08","2015","28","2015-08","Up",-0.00764413733534878
998,"2015-08-27",226.05,228.64,223.68,224.77,21905400,3287220000,"BTC",-0.00566246405662464,"08","2015","27","2015-08","Down",0.0298175344904318
999,"2015-08-26",222.08,231.18,220.2,225.83,31808000,3228540000,"BTC",0.0168858069164265,"08","2015","26","2015-08","Up",-0.00566246405662464
1000,"2015-08-25",210.07,226.32,199.57,221.61,61089200,3053250000,"BTC",0.0549340695958491,"08","2015","25","2015-08","Up",0.0168858069164265
1001,"2015-08-24",228.11,228.14,210.44,210.5,59220700,3314640000,"BTC",-0.0771995966858095,"08","2015","24","2015-08","Down",0.0549340695958491
1002,"2015-08-23",230.38,232.71,225.58,228.17,18406600,3346760000,"BTC",-0.00959284660126751,"08","2015","23","2015-08","Down",-0.0771995966858095
1003,"2015-08-22",232.66,234.96,222.7,230.39,23205900,3379050000,"BTC",-0.00975672655376949,"08","2015","22","2015-08","Down",-0.00959284660126751
1004,"2015-08-21",235.35,236.43,231.72,232.57,23173800,3417200000,"BTC",-0.0118121946037816,"08","2015","21","2015-08","Down",-0.00975672655376949
1005,"2015-08-20",226.9,237.37,226.9,235.35,32275000,3293570000,"BTC",0.0372410753635962,"08","2015","20","2015-08","Up",-0.0118121946037816
1006,"2015-08-19",225.67,237.41,222.77,226.68,60869200,3274860000,"BTC",0.00447556166083227,"08","2015","19","2015-08","Up",0.0372410753635962
1007,"2015-08-18",257.93,257.99,211.08,211.08,42147200,3742020000,"BTC",-0.181638429031132,"08","2015","18","2015-08","Down",0.00447556166083227
1008,"2015-08-17",258.49,260.5,257.12,257.98,21617900,3749260000,"BTC",-0.00197299702116133,"08","2015","17","2015-08","Down",-0.181638429031132
1009,"2015-08-16",261.87,262.44,257.04,258.51,29717000,3797330000,"BTC",-0.0128307939053729,"08","2015","16","2015-08","Down",-0.00197299702116133
1010,"2015-08-15",265.53,266.67,261.3,261.55,19321100,3849530000,"BTC",-0.0149888901442397,"08","2015","15","2015-08","Down",-0.0128307939053729
1011,"2015-08-14",264.13,267.47,261.48,265.68,27091200,3828340000,"BTC",0.00586832241699168,"08","2015","14","2015-08","Up",-0.0149888901442397
1012,"2015-08-13",266.18,266.23,262.84,264.08,27685500,3857090000,"BTC",-0.0078893981516268,"08","2015","13","2015-08","Down",0.00586832241699168
1013,"2015-08-12",270.6,270.67,265.47,266.38,26815400,3920210000,"BTC",-0.0155949741315596,"08","2015","12","2015-08","Down",-0.0078893981516268
1014,"2015-08-11",264.34,270.39,264.09,270.39,25433900,3828500000,"BTC",0.0228871907391996,"08","2015","11","2015-08","Up",-0.0155949741315596
1015,"2015-08-10",265.48,267.03,262.6,264.47,20979400,3843850000,"BTC",-0.00380442971221934,"08","2015","10","2015-08","Down",0.0228871907391996
1016,"2015-08-09",261.12,267,260.47,265.08,23789600,3779770000,"BTC",0.0151654411764705,"08","2015","09","2015-08","Up",-0.00380442971221934
1017,"2015-08-08",279.74,279.93,260.71,261,58533000,4048270000,"BTC",-0.0669907771502109,"08","2015","08","2015-08","Down",0.0151654411764705
1018,"2015-08-07",278.74,280.39,276.37,279.58,42484800,4032820000,"BTC",0.00301356102461066,"08","2015","07","2015-08","Up",-0.0669907771502109
1019,"2015-08-06",281.91,281.91,278.4,278.58,18792100,4077600000,"BTC",-0.0118122805150581,"08","2015","06","2015-08","Down",0.00301356102461066
1020,"2015-08-05",284.85,285.5,281.49,281.88,20128000,4119190000,"BTC",-0.0104265402843603,"08","2015","05","2015-08","Down",-0.0118122805150581
1021,"2015-08-04",281.23,285.71,281.23,285.22,21908700,4065870000,"BTC",0.0141876755680404,"08","2015","04","2015-08","Up",-0.0104265402843603
1022,"2015-08-03",282.81,285.47,280.23,281.23,21474100,4087610000,"BTC",-0.00558678971747811,"08","2015","03","2015-08","Down",0.0141876755680404
1023,"2015-08-02",280.45,283.03,277.53,282.61,17722200,4052470000,"BTC",0.00770190764842227,"08","2015","02","2015-08","Up",-0.00558678971747811
1024,"2015-08-01",284.69,284.93,278.11,281.6,18995000,4112610000,"BTC",-0.0108539112719097,"08","2015","01","2015-08","Down",0.00770190764842227
1025,"2015-07-31",287.7,288.96,282.34,284.65,23629100,4155010000,"BTC",-0.010601320820299,"07","2015","31","2015-07","Down",-0.0108539112719097
1026,"2015-07-30",289.1,290.13,286.57,287.72,21635800,4174360000,"BTC",-0.00477343479764786,"07","2015","30","2015-07","Down",-0.010601320820299
1027,"2015-07-29",294.48,294.54,288.78,289.59,24672600,4250940000,"BTC",-0.0166055419722903,"07","2015","29","2015-07","Down",-0.00477343479764786
1028,"2015-07-28",293.63,296.65,293.42,294.43,25453600,4237650000,"BTC",0.00272451724959988,"07","2015","28","2015-07","Up",-0.0166055419722903
1029,"2015-07-27",292.64,297.77,287.45,293.62,30592000,4222210000,"BTC",0.00334882449425922,"07","2015","27","2015-07","Up",0.00272451724959988
1030,"2015-07-26",288.64,293.05,287.71,292.69,16032300,4163470000,"BTC",0.0140313192904657,"07","2015","26","2015-07","Up",0.00334882449425922
1031,"2015-07-25",288.16,290.73,286,288.7,20662200,4155500000,"BTC",0.00187395891171559,"07","2015","25","2015-07","Up",0.0140313192904657
1032,"2015-07-24",276,289.25,275.25,288.28,37199400,3978990000,"BTC",0.0444927536231883,"07","2015","24","2015-07","Up",0.00187395891171559
1033,"2015-07-23",277.34,278.11,275.72,276.05,18531300,3997290000,"BTC",-0.00465133049686293,"07","2015","23","2015-07","Down",0.0444927536231883
1034,"2015-07-22",275.66,277.67,274.38,277.22,19389800,3971960000,"BTC",0.0056591453239498,"07","2015","22","2015-07","Up",-0.00465133049686293
1035,"2015-07-21",278.88,280.55,275.42,275.83,22930700,4017540000,"BTC",-0.0109366035570855,"07","2015","21","2015-07","Down",0.0056591453239498
1036,"2015-07-20",273.5,278.98,272.96,278.98,22711400,3938930000,"BTC",0.0200365630712981,"07","2015","20","2015-07","Up",-0.0109366035570855
1037,"2015-07-19",274.77,275.67,272.51,273.61,15332500,3956140000,"BTC",-0.00422171270517148,"07","2015","19","2015-07","Down",0.0200365630712981
1038,"2015-07-18",279.33,282.53,274.07,274.9,25187100,4020820000,"BTC",-0.0158593777968711,"07","2015","18","2015-07","Down",-0.00422171270517148
1039,"2015-07-17",278.09,280.28,272.04,279.47,27591400,4001950000,"BTC",0.00496242223740534,"07","2015","17","2015-07","Up",-0.0158593777968711
1040,"2015-07-16",286.04,291.18,275.24,278.09,49482600,4115410000,"BTC",-0.0277933156201931,"07","2015","16","2015-07","Down",0.00496242223740534
